Freq.	Ic(Q8)
Step Information: Cl=1µ  (Step: 1/2)
2.63026799189538e+00	(9.47237514929696e+01dB,-1.21249896854537e+01°)
2.69153480392691e+00	(9.47145417711809e+01dB,-1.24048545031897e+01°)
2.75422870333816e+00	(9.47049187961246e+01dB,-1.26904806806946e+01°)
2.81838293126445e+00	(9.46948650107625e+01dB,-1.29819647834943e+01°)
2.88403150312660e+00	(9.46843622007667e+01dB,-1.32794029567196e+01°)
2.95120922666638e+00	(9.46733914783733e+01dB,-1.35828907689191e+01°)
3.01995172040201e+00	(9.46619332658771e+01dB,-1.38925230443478e+01°)
3.09029543251359e+00	(9.46499672798861e+01dB,-1.42083936849929e+01°)
3.16227766016837e+00	(9.46374725168512e+01dB,-1.45305954827317e+01°)
3.23593656929628e+00	(9.46244272379449e+01dB,-1.48592199180470e+01°)
3.31131121482591e+00	(9.46108089558814e+01dB,-1.51943569490593e+01°)
3.38844156139202e+00	(9.45965944216621e+01dB,-1.55360947870701e+01°)
3.46736850452531e+00	(9.45817596134687e+01dB,-1.58845196620741e+01°)
3.54813389233575e+00	(9.45662797253282e+01dB,-1.62397155735791e+01°)
3.63078054770101e+00	(9.45501291586888e+01dB,-1.66017640321048e+01°)
3.71535229097172e+00	(9.45332815140452e+01dB,-1.69707437857519e+01°)
3.80189396320560e+00	(9.45157095855106e+01dB,-1.73467305370485e+01°)
3.89045144994280e+00	(9.44973853556677e+01dB,-1.77297966446237e+01°)
3.98107170553496e+00	(9.44782799944032e+01dB,-1.81200108169718e+01°)
4.07380277804112e+00	(9.44583638579764e+01dB,-1.85174377906420e+01°)
4.16869383470335e+00	(9.44376064917576e+01dB,-1.89221379998150e+01°)
4.26579518801592e+00	(9.44159766354051e+01dB,-1.93341672349629e+01°)
4.36515832240165e+00	(9.43934422300383e+01dB,-1.97535762896391e+01°)
4.46683592150962e+00	(9.43699704294858e+01dB,-2.01804106003347e+01°)
4.57088189614874e+00	(9.43455276139581e+01dB,-2.06147098761872e+01°)
4.67735141287197e+00	(9.43200794076626e+01dB,-2.10565077224799e+01°)
4.78630092322637e+00	(9.42935906993767e+01dB,-2.15058312563204e+01°)
4.89778819368445e+00	(9.42660256677925e+01dB,-2.19627007198220e+01°)
5.01187233627271e+00	(9.42373478099083e+01dB,-2.24271290874368e+01°)
5.12861383991364e+00	(9.42075199742151e+01dB,-2.28991216731249e+01°)
5.24807460249771e+00	(9.41765043981822e+01dB,-2.33786757374400e+01°)
5.37031796370252e+00	(9.41442627497959e+01dB,-2.38657800954383e+01°)
5.49540873857623e+00	(9.41107561746584e+01dB,-2.43604147313395e+01°)
5.62341325190348e+00	(9.40759453465769e+01dB,-2.48625504161354e+01°)
5.75439937337156e+00	(9.40397905246920e+01dB,-2.53721483390667e+01°)
5.88843655355588e+00	(9.40022516136393e+01dB,-2.58891597452381e+01°)
6.02559586074356e+00	(9.39632882304600e+01dB,-2.64135255930529e+01°)
6.16595001861481e+00	(9.39228597751914e+01dB,-2.69451762250950e+01°)
6.30957344480192e+00	(9.38809255068064e+01dB,-2.74840310606293e+01°)
6.45654229034654e+00	(9.38374446243385e+01dB,-2.80299983127256e+01°)
6.60693448007594e+00	(9.37923763522376e+01dB,-2.85829747304240e+01°)
6.76082975391980e+00	(9.37456800302875e+01dB,-2.91428453706255e+01°)
6.91830970918935e+00	(9.36973152080712e+01dB,-2.97094834037293e+01°)
7.07945784384136e+00	(9.36472417436211e+01dB,-3.02827499559026e+01°)
7.24435960074988e+00	(9.35954199050696e+01dB,-3.08624939878683e+01°)
7.41310241300916e+00	(9.35418104764759e+01dB,-3.14485522188622e+01°)
7.58577575029182e+00	(9.34863748660917e+01dB,-3.20407490938271e+01°)
7.76247116628690e+00	(9.34290752171747e+01dB,-3.26388967985892e+01°)
7.94328234724279e+00	(9.33698745201494e+01dB,-3.32427953227199e+01°)
8.12830516164097e+00	(9.33087367276042e+01dB,-3.38522325808369e+01°)
