Freq.	V(a)
Step Information: Cl=1µ  (Step: 1/2)
9.12010839355907e+02	(6.06990431127748e+01dB,1.79010898682526e+02°)
9.33254300796988e+02	(6.06990083528736e+01dB,1.78987858944880e+02°)
9.54992586021433e+02	(6.06989719550462e+01dB,1.78964282716607e+02°)
9.77237220955808e+02	(6.06989338421553e+01dB,1.78940157508714e+02°)
9.99999999999997e+02	(6.06988939329291e+01dB,1.78915470541988e+02°)
1.02329299228075e+03	(6.06988521432954e+01dB,1.78890208740164e+02°)
1.04712854805090e+03	(6.06988083848216e+01dB,1.78864358723158e+02°)
1.07151930523760e+03	(6.06987625641521e+01dB,1.78837906800070e+02°)
1.09647819614318e+03	(6.06987145843164e+01dB,1.78810838961885e+02°)
1.12201845430196e+03	(6.06986643440218e+01dB,1.78783140874149e+02°)
1.14815362149688e+03	(6.06986117363099e+01dB,1.78754797869556e+02°)
1.17489755493953e+03	(6.06985566492086e+01dB,1.78725794940182e+02°)
1.20226443461741e+03	(6.06984989671285e+01dB,1.78696116729481e+02°)
1.23026877081238e+03	(6.06984385672267e+01dB,1.78665747524539e+02°)
1.25892541179416e+03	(6.06983753209053e+01dB,1.78634671247700e+02°)
1.28824955169313e+03	(6.06983090947963e+01dB,1.78602871448044e+02°)
1.31825673855640e+03	(6.06982397487213e+01dB,1.78570331292944e+02°)
1.34896288259165e+03	(6.06981671350166e+01dB,1.78537033559319e+02°)
1.38038426460288e+03	(6.06980911002320e+01dB,1.78502960624448e+02°)
1.41253754462275e+03	(6.06980114825474e+01dB,1.78468094457007e+02°)
1.44543977074592e+03	(6.06979281143159e+01dB,1.78432416607375e+02°)
1.47910838816820e+03	(6.06978408176940e+01dB,1.78395908198446e+02°)
1.51356124843620e+03	(6.06977494090370e+01dB,1.78358549915304e+02°)
1.54881661891248e+03	(6.06976536933602e+01dB,1.78320321995742e+02°)
1.58489319246111e+03	(6.06975534688286e+01dB,1.78281204219459e+02°)
1.62181009735892e+03	(6.06974485225606e+01dB,1.78241175897996e+02°)
1.65958690743755e+03	(6.06973386319382e+01dB,1.78200215863818e+02°)
1.69824365246174e+03	(6.06972235650145e+01dB,1.78158302459242e+02°)
1.73780082874937e+03	(6.06971030772644e+01dB,1.78115413525584e+02°)
1.77827941003892e+03	(6.06969769135776e+01dB,1.78071526391403e+02°)
1.81970085860998e+03	(6.06968448070946e+01dB,1.78026617860882e+02°)
1.86208713666286e+03	(6.06967064778890e+01dB,1.77980664201982e+02°)
1.90546071796324e+03	(6.06965616325050e+01dB,1.77933641134224e+02°)
1.94984459975804e+03	(6.06964099645927e+01dB,1.77885523816039e+02°)
1.99526231496887e+03	(6.06962511536357e+01dB,1.77836286832116e+02°)
2.04173794466952e+03	(6.06960848618911e+01dB,1.77785904180735e+02°)
2.08929613085403e+03	(6.06959107380718e+01dB,1.77734349259841e+02°)
2.13796208950222e+03	(6.06957284140972e+01dB,1.77681594853821e+02°)
2.18776162394954e+03	(6.06955375028115e+01dB,1.77627613119897e+02°)
2.23872113856833e+03	(6.06953376006842e+01dB,1.77572375573419e+02°)
2.29086765276776e+03	(6.06951282850808e+01dB,1.77515853073699e+02°)
2.34422881531991e+03	(6.06949091122420e+01dB,1.77458015809462e+02°)
2.39883291901948e+03	(6.06946796191146e+01dB,1.77398833283319e+02°)
2.45470891568502e+03	(6.06944393192414e+01dB,1.77338274296941e+02°)
2.51188643150957e+03	(6.06941877051281e+01dB,1.77276306934779e+02°)
2.57039578276885e+03	(6.06939242444190e+01dB,1.77212898548547e+02°)
2.63026799189537e+03	(6.06936483794066e+01dB,1.77148015740802e+02°)
2.69153480392690e+03	(6.06933595268671e+01dB,1.77081624348097e+02°)
2.75422870333815e+03	(6.06930570765887e+01dB,1.77013689424033e+02°)
2.81838293126444e+03	(6.06927403884635e+01dB,1.76944175222278e+02°)
2.88403150312659e+03	(6.06924087932785e+01dB,1.76873045178479e+02°)
2.95120922666637e+03	(6.06920615900653e+01dB,1.76800261892519e+02°)
3.01995172040200e+03	(6.06916980456379e+01dB,1.76725787109962e+02°)
3.09029543251358e+03	(6.06913173913053e+01dB,1.76649581703746e+02°)
3.16227766016836e+03	(6.06909188236507e+01dB,1.76571605654617e+02°)
3.23593656929627e+03	(6.06905015009760e+01dB,1.76491818032153e+02°)
3.31131121482590e+03	(6.06900645415470e+01dB,1.76410176975039e+02°)
3.38844156139201e+03	(6.06896070231389e+01dB,1.76326639670634e+02°)
3.46736850452530e+03	(6.06891279802410e+01dB,1.76241162334722e+02°)
3.54813389233574e+03	(6.06886264021742e+01dB,1.76153700190670e+02°)
3.63078054770100e+03	(6.06881012302435e+01dB,1.76064207448463e+02°)
3.71535229097171e+03	(6.06875513571712e+01dB,1.75972637282751e+02°)
3.80189396320559e+03	(6.06869756246765e+01dB,1.75878941810982e+02°)
3.89045144994279e+03	(6.06863728180714e+01dB,1.75783072072016e+02°)
3.98107170553495e+03	(6.06857416672606e+01dB,1.75684978002579e+02°)
4.07380277804111e+03	(6.06850808427401e+01dB,1.75584608414719e+02°)
4.16869383470333e+03	(6.06843889537336e+01dB,1.75481910972267e+02°)
