time	V(vo)
0.000000000000000e+00	5.082766e-01
9.999999960041972e-13	5.082766e-01
1.999999992008394e-12	5.082766e-01
3.999999984016789e-12	5.082766e-01
7.999999968033578e-12	5.082766e-01
1.599999993606716e-11	5.082766e-01
3.199999987213431e-11	5.082766e-01
6.399999974426862e-11	5.082766e-01
1.279999994885372e-10	5.082766e-01
2.559999989770745e-10	5.082766e-01
5.119999979541490e-10	5.082766e-01
1.023999995908298e-09	5.082766e-01
2.047999991816596e-09	5.082766e-01
4.095999983633192e-09	5.082766e-01
8.191999967266383e-09	5.082766e-01
1.638399993453277e-08	5.082766e-01
3.276799986906553e-08	5.082766e-01
6.553599973813107e-08	5.082767e-01
1.095967211265679e-07	5.082769e-01
1.474726348456499e-07	5.082771e-01
1.811389685046135e-07	5.082771e-01
2.149119037430539e-07	5.082769e-01
2.541880812813879e-07	5.082760e-01
2.968406663061824e-07	5.082746e-01
3.200157723060348e-07	5.082736e-01
3.486215196975438e-07	5.082723e-01
3.746033174696846e-07	5.082716e-01
3.998495504708720e-07	5.082718e-01
4.255843480938711e-07	5.082737e-01
4.520618378832448e-07	5.082781e-01
4.864680252713917e-07	5.082876e-01
5.155280554147454e-07	5.082988e-01
5.411331781442307e-07	5.083099e-01
5.648951923880443e-07	5.083193e-01
5.881744849857427e-07	5.083244e-01
6.120288157825777e-07	5.083205e-01
6.405651866192381e-07	5.082986e-01
6.667394619691435e-07	5.082518e-01
7.122939083425363e-07	5.081172e-01
7.569705668667102e-07	5.079572e-01
7.912653307824096e-07	5.078545e-01
8.153431244301717e-07	5.078533e-01
8.480640476066491e-07	5.080004e-01
8.662134047719910e-07	5.081857e-01
8.809887150663138e-07	5.084314e-01
8.953089925478192e-07	5.087797e-01
9.239495475108299e-07	5.098365e-01
9.812306574368513e-07	5.128424e-01
1.052176401466463e-06	5.170915e-01
1.120920447314755e-06	5.208019e-01
1.129337674427661e-06	5.210701e-01
1.146172128653473e-06	5.211981e-01
1.165354761491394e-06	5.210105e-01
1.182407814669209e-06	5.205774e-01
1.196385641377011e-06	5.201178e-01
1.204611107019430e-06	5.198352e-01
1.212603959036439e-06	5.195605e-01
1.220351717482543e-06	5.192938e-01
1.227591038904065e-06	5.190445e-01
1.235208654486423e-06	5.187820e-01
1.242587585302955e-06	5.185279e-01
1.255268417167808e-06	5.180913e-01
1.269907588942192e-06	5.175876e-01
1.286441968484166e-06	5.170192e-01
1.304126651670578e-06	5.164118e-01
1.331943922393042e-06	5.154579e-01
1.364064066925261e-06	5.143591e-01
1.425609588050282e-06	5.122600e-01
1.490967807810628e-06	5.100388e-01
1.547049864892074e-06	5.081406e-01
1.609017756857127e-06	5.060510e-01
1.649745712546171e-06	5.046819e-01
1.675069620271180e-06	5.038327e-01
1.689966813482966e-06	5.033341e-01
1.704402051631593e-06	5.028576e-01
1.718897837373666e-06	5.023933e-01
1.719742179085081e-06	5.023690e-01
1.721430862507911e-06	5.023282e-01
1.723508642358976e-06	5.022872e-01
1.725847309989887e-06	5.022596e-01
1.730524645251710e-06	5.022614e-01
1.736815711317998e-06	5.023778e-01
1.744631924952019e-06	5.027214e-01
1.753450755501349e-06	5.034700e-01
1.771088416600010e-06	5.060338e-01
1.794320055647488e-06	5.111229e-01
1.817324765954629e-06	5.178601e-01
1.835442691668794e-06	5.242663e-01
1.855942451021561e-06	5.324287e-01
1.879122067237156e-06	5.423667e-01
1.895914767810678e-06	5.499307e-01
1.907691781061125e-06	5.553988e-01
1.919152511511216e-06	5.608028e-01
1.933733620294728e-06	5.677364e-01
1.948346615403606e-06	5.747217e-01
1.963323157973759e-06	5.819005e-01
1.981208479098073e-06	5.904785e-01
1.997702004008206e-06	5.983817e-01
2.023132134023082e-06	6.105437e-01
2.051476175170816e-06	6.240599e-01
2.086313226983763e-06	6.405981e-01
2.142986626248111e-06	6.673454e-01
2.200713602566387e-06	6.943821e-01
2.265880623327002e-06	7.246303e-01
2.303971468823599e-06	7.420899e-01
2.334605068853610e-06	7.558903e-01
2.347448304439765e-06	7.615483e-01
2.355274771450282e-06	7.649071e-01
2.361186189306643e-06	7.673736e-01
2.366655514772046e-06	7.695842e-01
2.371590653772076e-06	7.715095e-01
2.376516270183218e-06	7.733524e-01
2.382151753429281e-06	7.753586e-01
2.387617334257023e-06	7.771838e-01
2.393798955783956e-06	7.790826e-01
2.400287763669231e-06	7.808647e-01
2.407520922830648e-06	7.825637e-01
2.415443254907964e-06	7.840456e-01
2.424555403875433e-06	7.852305e-01
2.435061687073988e-06	7.860797e-01
2.436660352965931e-06	7.861417e-01
2.439857684749816e-06	7.861528e-01
2.446252348317587e-06	7.860289e-01
2.451909009517234e-06	7.858078e-01
2.456260082445018e-06	7.855921e-01
2.459333507264872e-06	7.854338e-01
2.462298485205710e-06	7.852809e-01
2.465713561222864e-06	7.851041e-01
2.469025313597751e-06	7.849320e-01
2.472699866710778e-06	7.847406e-01
2.476651658806104e-06	7.845346e-01
2.482853309880136e-06	7.842112e-01
2.487980160978809e-06	7.839437e-01
2.494002029083906e-06	7.836297e-01
2.503200305442948e-06	7.831501e-01
2.512160826213666e-06	7.826833e-01
2.530081867755103e-06	7.817503e-01
2.549038364527286e-06	7.807648e-01
2.586951358071653e-06	7.787979e-01
2.634350321580258e-06	7.763455e-01
2.696146341671797e-06	7.731599e-01
2.769347618445266e-06	7.694021e-01
2.837336929937993e-06	7.659273e-01
2.899074507556122e-06	7.627862e-01
2.968470794164770e-06	7.592705e-01
3.025886943788826e-06	7.563728e-01
3.063662815267177e-06	7.544727e-01
3.100668539247265e-06	7.526161e-01
3.121971252197591e-06	7.515494e-01
3.140150431800135e-06	7.506406e-01
3.154052872236963e-06	7.499465e-01
3.166636715290837e-06	7.493274e-01
3.179751915834246e-06	7.487014e-01
3.180395978861463e-06	7.486733e-01
3.181684104915895e-06	7.486234e-01
3.182948074308897e-06	7.485793e-01
3.184488961776912e-06	7.485350e-01
3.187570736712941e-06	7.484712e-01
3.190524522222566e-06	7.484466e-01
3.195838215824903e-06	7.484922e-01
3.201284076700662e-06	7.486727e-01
3.210463063812752e-06	7.492994e-01
3.221752503820292e-06	7.506182e-01
3.237657242084688e-06	7.535332e-01
3.261378661948006e-06	7.595326e-01
3.281676870468732e-06	7.659547e-01
3.303324170275093e-06	7.738987e-01
