time	V(vo)
0.000000000000000e+00	5.034541e+00
9.999999999999999e-06	5.034541e+00
1.000000010000000e-05	5.034541e+00
1.000000030000000e-05	5.034541e+00
1.000000070000000e-05	5.034541e+00
1.000000100000000e-05	5.034541e+00
1.000000108000000e-05	5.034541e+00
1.000000124000000e-05	5.034541e+00
1.000000156000000e-05	5.034541e+00
1.000000220000000e-05	5.034541e+00
1.000000348000000e-05	5.034541e+00
1.000000604000000e-05	5.034541e+00
1.000000986411570e-05	5.034540e+00
1.000001446106653e-05	5.034540e+00
1.000002163184926e-05	5.034540e+00
1.000003559877558e-05	5.034540e+00
1.000005128844898e-05	5.034540e+00
1.000007724214461e-05	5.034541e+00
1.000012235430995e-05	5.034541e+00
1.000021257864064e-05	5.034541e+00
1.000038607189140e-05	5.034543e+00
1.000055303440386e-05	5.034544e+00
1.000082200661736e-05	5.034546e+00
1.000117546747379e-05	5.034549e+00
1.000164620875981e-05	5.034554e+00
1.000233706896745e-05	5.034563e+00
1.000371878938272e-05	5.034595e+00
1.000648223021327e-05	5.034707e+00
1.001025090526709e-05	5.034961e+00
1.001479274012733e-05	5.035437e+00
1.002125046971013e-05	5.036495e+00
1.003416592887572e-05	5.039837e+00
1.005491727773106e-05	5.048710e+00
1.009641997544175e-05	5.076954e+00
1.015838369785717e-05	5.134818e+00
1.019568368268521e-05	5.177188e+00
1.023551669528493e-05	5.226514e+00
1.027656235002834e-05	5.274781e+00
1.035000947467960e-05	5.347108e+00
1.040500536095931e-05	5.382974e+00
1.046569010604401e-05	5.400321e+00
1.050095089330827e-05	5.401271e+00
1.054593069581276e-05	5.396996e+00
1.056889966382129e-05	5.394482e+00
1.059002432829246e-05	5.392164e+00
1.062565560806727e-05	5.388254e+00
1.066123920524270e-05	5.384349e+00
1.073240639959356e-05	5.376541e+00
1.083240639959356e-05	5.365573e+00
1.093240639959356e-05	5.354612e+00
1.103240639959356e-05	5.343660e+00
1.113240639959356e-05	5.332718e+00
1.123240639959356e-05	5.321789e+00
1.133240639959356e-05	5.310872e+00
1.143240639959356e-05	5.299970e+00
1.153240639959356e-05	5.289084e+00
1.163240639959356e-05	5.278216e+00
1.173240639959356e-05	5.267368e+00
1.183240639959356e-05	5.256542e+00
1.193240639959357e-05	5.245739e+00
1.203240639959357e-05	5.234957e+00
1.213240639959357e-05	5.224197e+00
1.223240639959357e-05	5.213459e+00
1.233240639959357e-05	5.202744e+00
1.243240639959357e-05	5.192052e+00
1.253240639959357e-05	5.181382e+00
1.263240639959357e-05	5.170734e+00
1.273240639959357e-05	5.160110e+00
1.283240639959357e-05	5.149508e+00
1.293240639959357e-05	5.138929e+00
1.303240639959357e-05	5.128373e+00
1.313240639959357e-05	5.117840e+00
1.323240639959358e-05	5.107330e+00
1.333240639959358e-05	5.096844e+00
1.343240639959358e-05	5.086376e+00
1.344125628988092e-05	5.085451e+00
1.345895607045561e-05	5.083603e+00
1.347312257610912e-05	5.082224e+00
1.348787148808801e-05	5.081014e+00
1.348895545736219e-05	5.080963e+00
1.349112339591057e-05	5.080943e+00
1.349392360197704e-05	5.080984e+00
1.349706797660660e-05	5.081145e+00
1.350335672586571e-05	5.081759e+00
1.351118274039069e-05	5.082997e+00
1.352365771913803e-05	5.085998e+00
1.354257465475340e-05	5.092699e+00
1.357317255783608e-05	5.108217e+00
1.361537993854594e-05	5.137143e+00
1.366990330876318e-05	5.183162e+00
1.373244284014031e-05	5.240627e+00
1.379025579681882e-05	5.290971e+00
1.384303384245712e-05	5.327163e+00
1.390804867294226e-05	5.354300e+00
1.396383947739829e-05	5.362754e+00
1.400577232560750e-05	5.361387e+00
1.404166585797063e-05	5.357790e+00
1.406636498233565e-05	5.355093e+00
1.409454680296086e-05	5.352015e+00
1.412376918587224e-05	5.348824e+00
1.418221395169500e-05	5.342444e+00
1.425582486690199e-05	5.334412e+00
1.435582486690200e-05	5.323509e+00
