time	V(vo)
9.686941855866816e-05	5.226358e+00
9.696941855866817e-05	5.226390e+00
9.918370427295394e-05	5.227063e+00
1.013979899872397e-04	5.227688e+00
1.036122757015255e-04	5.228264e+00
1.058265614158112e-04	5.228793e+00
1.080408471300970e-04	5.229273e+00
1.102551328443828e-04	5.229705e+00
1.124694185586685e-04	5.230089e+00
1.146694185586686e-04	5.230441e+00
1.168694185586686e-04	5.230767e+00
1.190694185586687e-04	5.231069e+00
1.212694185586688e-04	5.231345e+00
1.234694185586688e-04	5.231597e+00
1.256694185586689e-04	5.231823e+00
1.278694185586689e-04	5.232024e+00
1.300694185586690e-04	5.232210e+00
1.322694185586690e-04	5.232382e+00
1.344694185586691e-04	5.232541e+00
1.366694185586691e-04	5.232687e+00
1.388694185586692e-04	5.232820e+00
1.410694185586692e-04	5.232939e+00
1.432694185586693e-04	5.233046e+00
1.454837042729550e-04	5.233144e+00
1.476979899872408e-04	5.233236e+00
1.499122757015266e-04	5.233320e+00
1.521265614158124e-04	5.233398e+00
1.543408471300981e-04	5.233468e+00
1.565551328443839e-04	5.233531e+00
1.587694185586697e-04	5.233587e+00
1.609837042729554e-04	5.233639e+00
1.631979899872412e-04	5.233687e+00
1.654122757015270e-04	5.233731e+00
1.676265614158127e-04	5.233772e+00
1.698408471300985e-04	5.233809e+00
1.720551328443843e-04	5.233842e+00
1.742694185586700e-04	5.233872e+00
1.764979899872415e-04	5.233899e+00
1.787265614158130e-04	5.233925e+00
1.809551328443845e-04	5.233948e+00
1.831837042729560e-04	5.233970e+00
1.854122757015275e-04	5.233989e+00
1.876408471300989e-04	5.234007e+00
1.898694185586704e-04	5.234022e+00
1.912122757015276e-04	5.234031e+00
1.925551328443848e-04	5.234039e+00
1.938979899872420e-04	5.234047e+00
1.952408471300991e-04	5.234055e+00
1.965837042729563e-04	5.234062e+00
1.979265614158135e-04	5.234069e+00
1.992694185586707e-04	5.234076e+00
1.993694185586707e-04	5.234076e+00
2.016694185586707e-04	5.234086e+00
2.039694185586708e-04	5.234095e+00
2.062694185586708e-04	5.234104e+00
2.085694185586709e-04	5.234111e+00
2.108694185586709e-04	5.234118e+00
2.131694185586710e-04	5.234124e+00
2.154694185586710e-04	5.234130e+00
2.178551328443854e-04	5.234135e+00
2.202408471300997e-04	5.234140e+00
2.226265614158141e-04	5.234145e+00
2.250122757015284e-04	5.234149e+00
2.273979899872428e-04	5.234152e+00
2.297837042729571e-04	5.234156e+00
2.321694185586715e-04	5.234159e+00
2.347265614158144e-04	5.234161e+00
2.372837042729573e-04	5.234164e+00
2.398408471301002e-04	5.234166e+00
2.423979899872431e-04	5.234169e+00
2.449551328443860e-04	5.234170e+00
2.475122757015290e-04	5.234172e+00
2.500694185586719e-04	5.234173e+00
2.529551328443862e-04	5.234175e+00
2.558408471301006e-04	5.234176e+00
2.587265614158150e-04	5.234177e+00
2.616122757015293e-04	5.234179e+00
2.644979899872437e-04	5.234180e+00
2.673837042729580e-04	5.234181e+00
2.702694185586724e-04	5.234181e+00
2.738408471301011e-04	5.234182e+00
2.774122757015297e-04	5.234183e+00
2.809837042729584e-04	5.234184e+00
2.845551328443870e-04	5.234184e+00
2.881265614158157e-04	5.234185e+00
2.916979899872444e-04	5.234185e+00
2.952694185586730e-04	5.234185e+00
3.017694185586731e-04	5.234186e+00
3.073408471301019e-04	5.234186e+00
3.129122757015305e-04	5.234186e+00
3.184837042729593e-04	5.234186e+00
3.240551328443880e-04	5.234186e+00
3.296265614158167e-04	5.234186e+00
3.351979899872454e-04	5.234187e+00
3.407694185586741e-04	5.234187e+00
3.498122757015314e-04	5.234187e+00
3.588551328443888e-04	5.234187e+00
3.678979899872462e-04	5.234187e+00
3.769408471301036e-04	5.234187e+00
3.859837042729609e-04	5.234187e+00
3.950265614158183e-04	5.234187e+00
4.040694185586756e-04	5.234187e+00
4.041694185586756e-04	5.234187e+00
4.099388361173516e-04	5.234187e+00
4.100000010000000e-04	5.234187e+00
4.100000011000000e-04	5.234187e+00
4.100000013000000e-04	5.234187e+00
4.100000017000000e-04	5.234187e+00
4.100000020000000e-04	5.234187e+00
4.100000020800000e-04	5.234187e+00
4.100000022400000e-04	5.234187e+00
4.100000025600000e-04	5.234187e+00
4.100000032000000e-04	5.234187e+00
4.100000044800000e-04	5.234187e+00
4.100000048000000e-04	5.234187e+00
4.100000054399999e-04	5.234187e+00
4.100000067199999e-04	5.234187e+00
4.100000092799999e-04	5.234187e+00
4.100000143999999e-04	5.234187e+00
4.100000246399999e-04	5.234187e+00
4.100000374937010e-04	5.234187e+00
4.100000530732763e-04	5.234187e+00
4.100000759910545e-04	5.234187e+00
4.100001170918093e-04	5.234187e+00
4.100001930559209e-04	5.234187e+00
4.100003449841440e-04	5.234187e+00
4.100005093897864e-04	5.234187e+00
4.100007566874600e-04	5.234187e+00
4.100010827531047e-04	5.234187e+00
4.100015680074492e-04	5.234187e+00
4.100022653926447e-04	5.234187e+00
4.100036601630357e-04	5.234187e+00
4.100064497038176e-04	5.234187e+00
