time	V(vo)
0.000000000000000e+00	5.082766e-01
9.999999960041972e-13	5.082766e-01
1.999999992008394e-12	5.082766e-01
7.999999968033578e-12	5.082766e-01
3.199999987213431e-11	5.082766e-01
6.399999974426862e-11	5.082766e-01
1.279999994885372e-10	5.082766e-01
2.559999989770745e-10	5.082766e-01
5.119999979541490e-10	5.082766e-01
1.023999995908298e-09	5.082766e-01
2.047999991816596e-09	5.082766e-01
2.047999991816597e-08	5.082766e-01
3.891199984451533e-08	5.082766e-01
5.734399977086470e-08	5.082766e-01
7.577599969721407e-08	5.082766e-01
9.420799962356344e-08	5.082766e-01
1.126399995499128e-07	5.082766e-01
1.310719994762621e-07	5.082766e-01
2.310719994762621e-07	5.082766e-01
3.310719994762621e-07	5.082766e-01
4.310719994762621e-07	5.082766e-01
5.310719994762621e-07	5.082766e-01
7.310719994762621e-07	5.082766e-01
8.310719994762621e-07	5.082766e-01
9.310719994762621e-07	5.082766e-01
1.031071999476262e-06	5.082766e-01
1.131071999476262e-06	5.082766e-01
1.202500570904834e-06	5.082766e-01
1.273929142333405e-06	5.082766e-01
1.345357713761977e-06	5.082766e-01
1.416786285190548e-06	5.082766e-01
1.488214856619120e-06	5.082766e-01
1.559643428047692e-06	5.082766e-01
1.631071999476263e-06	5.082766e-01
1.831071999476263e-06	5.082766e-01
2.002500570904835e-06	5.082766e-01
2.173929142333406e-06	5.082766e-01
2.345357713761977e-06	5.082766e-01
2.516786285190548e-06	5.082766e-01
2.688214856619120e-06	5.082766e-01
2.859643428047691e-06	5.082766e-01
3.031071999476262e-06	5.082766e-01
9.999999999999999e-06	5.082766e-01
1.000000010000000e-05	5.082766e-01
1.000000030000000e-05	5.082766e-01
1.000000035000000e-05	5.082766e-01
1.000000045000000e-05	5.082766e-01
1.000000065000000e-05	5.082766e-01
1.000000100000000e-05	5.082766e-01
1.000000104000000e-05	5.082766e-01
1.000000112000000e-05	5.082766e-01
1.000000128000000e-05	5.082766e-01
1.000000160000000e-05	5.082766e-01
1.000000224000000e-05	5.082766e-01
1.000000338610377e-05	5.082766e-01
1.000000461445799e-05	5.082766e-01
1.000000584937027e-05	5.082766e-01
1.000000726381576e-05	5.082766e-01
1.000000913056061e-05	5.082766e-01
1.000001201005885e-05	5.082766e-01
1.000001552798582e-05	5.082766e-01
1.000002014825939e-05	5.082766e-01
1.000002435918763e-05	5.082766e-01
1.000003069346582e-05	5.082766e-01
1.000003978120436e-05	5.082766e-01
1.000005795668143e-05	5.082766e-01
1.000007649889872e-05	5.082766e-01
1.000010517716052e-05	5.082766e-01
1.000015175815706e-05	5.082766e-01
1.000024492015013e-05	5.082767e-01
1.000033021121120e-05	5.082768e-01
1.000045453154016e-05	5.082768e-01
1.000059340088488e-05	5.082768e-01
1.000087113957432e-05	5.082768e-01
1.000114017589096e-05	5.082768e-01
1.000163024602975e-05	5.082768e-01
1.000225594266715e-05	5.082768e-01
1.000350733594195e-05	5.082770e-01
1.000534514479981e-05	5.082772e-01
1.000788953780830e-05	5.082774e-01
1.001123475986335e-05	5.082775e-01
1.001790090983907e-05	5.082776e-01
1.003123320979051e-05	5.082776e-01
1.004529691435298e-05	5.082774e-01
1.007342432347792e-05	5.082772e-01
1.012967914172780e-05	5.082793e-01
1.022967914172780e-05	5.082940e-01
1.032937646074539e-05	5.083278e-01
1.042937646074539e-05	5.083860e-01
1.052937646074539e-05	5.084665e-01
1.062937646074539e-05	5.085639e-01
1.072774401276539e-05	5.086705e-01
1.082521236402864e-05	5.087817e-01
1.092521236402864e-05	5.088974e-01
1.102521236402865e-05	5.090122e-01
1.112521236402865e-05	5.091242e-01
1.122521236402865e-05	5.092325e-01
1.132521236402865e-05	5.093371e-01
1.142521236402865e-05	5.094380e-01
1.152521236402865e-05	5.095361e-01
1.162521236402865e-05	5.096318e-01
1.172521236402865e-05	5.097260e-01
1.192521236402865e-05	5.099121e-01
1.218750189703373e-05	5.101554e-01
1.248429180026349e-05	5.104303e-01
1.275572037169206e-05	5.106792e-01
1.302714894312064e-05	5.109245e-01
1.329857751454921e-05	5.111663e-01
1.357000608597778e-05	5.114045e-01
1.384143465740636e-05	5.116391e-01
1.411286322883493e-05	5.118702e-01
1.438429180026350e-05	5.120977e-01
1.584143465740635e-05	5.132533e-01
1.729857751454920e-05	5.143376e-01
1.875572037169204e-05	5.153507e-01
2.021286322883488e-05	5.162925e-01
2.167000608597773e-05	5.171631e-01
2.312714894312058e-05	5.179624e-01
2.458429180026342e-05	5.186905e-01
2.619857751454914e-05	5.194378e-01
2.781286322883487e-05	5.201353e-01
2.942714894312059e-05	5.207829e-01
3.104143465740632e-05	5.213807e-01
3.265572037169204e-05	5.219286e-01
3.427000608597777e-05	5.224267e-01
3.588429180026349e-05	5.228750e-01
3.758429180026354e-05	5.233109e-01
3.928429180026358e-05	5.237166e-01
4.098429180026362e-05	5.240920e-01
4.268429180026366e-05	5.244372e-01
4.438429180026371e-05	5.247521e-01
4.608429180026375e-05	5.250368e-01
4.778429180026378e-05	5.252912e-01
4.952714894312097e-05	5.255318e-01
5.127000608597815e-05	5.257553e-01
5.301286322883534e-05	5.259618e-01
5.475572037169253e-05	5.261514e-01
5.649857751454971e-05	5.263239e-01
5.824143465740690e-05	5.264794e-01
5.998429180026408e-05	5.266179e-01
6.174143465740698e-05	5.267466e-01
6.349857751454988e-05	5.268662e-01
6.525572037169278e-05	5.269766e-01
6.701286322883568e-05	5.270778e-01
6.877000608597857e-05	5.271699e-01
7.052714894312148e-05	5.272528e-01
7.228429180026437e-05	5.273265e-01
7.404143465740727e-05	5.273945e-01
7.579857751455017e-05	5.274577e-01
7.755572037169307e-05	5.275161e-01
7.931286322883598e-05	5.275696e-01
8.107000608597887e-05	5.276182e-01
8.282714894312178e-05	5.276620e-01
8.458429180026467e-05	5.277010e-01
8.625572037169328e-05	5.277353e-01
8.792714894312190e-05	5.277673e-01
8.959857751455051e-05	5.277969e-01
9.127000608597912e-05	5.278242e-01
9.294143465740774e-05	5.278491e-01
9.461286322883635e-05	5.278716e-01
9.628429180026496e-05	5.278919e-01
9.638429180026496e-05	5.278930e-01
9.814143465740785e-05	5.279125e-01
9.989857751455076e-05	5.279306e-01
1.016557203716937e-04	5.279473e-01
1.034128632288366e-04	5.279627e-01
1.051700060859795e-04	5.279766e-01
